Event,Time,Travel,Burnup,Velocity,Breech Pres.,Avg. Pres.,Shot Pres.,Avg. Temp.
SHOT START,0.0,0.0,0.006955171540751525,0.0,10871559.633028043,10000000.000000479,8256880.73394535,2429.390008146346
*,9.992345836793872e-05,8.407527985987342e-05,0.010538845993232562,1.8083298951633242,16511503.960648354,15187731.80208267,12540187.4849513,2435.673876512888
,0.00011659431687378058,0.00011736818596440545,0.011286104668142219,2.190199667387384,17689819.322506305,16271550.809436008,13435013.783295412,2436.963573959718
*,0.00016240851728041293,0.0002442288050901036,0.013607408672054472,3.385324682969286,21354830.636130344,19642595.520638473,16218125.289654734,2440.94704582011
,0.00023318863374756116,0.0005629419090337338,0.018102786913367076,5.732740770453825,28471194.62524978,26187942.911493488,21621439.483980905,2448.6059113788156
*,0.0002546853493073965,0.0006952517562518119,0.01972548816930992,6.589390337610146,31045728.833715755,28555819.75475059,23576001.59682027,2451.361002119744
,0.0003497829506213417,0.0015362781078509591,0.02869912032982968,11.401016841898937,45333639.856185205,41696040.0819057,34420840.53334669,2466.5633548180813
*,0.00037685709989026346,0.0018680245494973229,0.0318856479273027,13.13628289016104,50426661.13070061,46379614.22190846,38285520.40432416,2471.9573949804535
,0.0004663772674951223,0.003349179816997075,0.04494842167422699,20.373168354065932,71401914.06845503,65666560.166672885,54195852.36310859,2494.083277248809
*,0.0005243078302937744,0.004702489884707683,0.055903444137498676,26.57740040862331,89103491.65808079,81940682.72440892,67615064.85706523,2512.671439545299
,0.0005829715843689029,0.006483081556087435,0.06947723678215989,34.41615166767865,111162924.64961688,102217707.02436002,84327271.7738463,2535.750423959357
*,0.0006913072533332954,0.011215269882038364,0.10274073245699578,54.261723511244185,165727485.73703343,152355808.94648656,125612455.36539286,2592.493606203741
,0.0006995659012426834,0.011671050276525262,0.10578786243239603,56.12224876788659,170757008.1636675,156976016.01559857,129414031.71946068,2597.7011257415697
,0.0008161602181164641,0.02000895706545801,0.15815797006467772,89.160519994998,257788411.27719808,236888017.07296264,195087228.66449174,2687.2205276830086
*,0.0008743791731159218,0.025825193782359014,0.1917164056705177,111.37358085516914,313907158.1983656,288377663.51557153,237318674.1499833,2744.3287583075357
,0.0009327545349902446,0.03309037112651746,0.23094842658418993,138.38992745073486,379495722.5312622,348514938.80174565,286553371.34271246,2810.395727893408
,0.0010493488518640251,0.053127601368351846,0.32671892268525915,209.40182366402757,536804909.4192856,492544835.46325487,404024687.5511936,2965.0923458361085
*,0.0010759069655627176,0.05894797589356535,0.3516266422205309,229.15083002137783,576343054.3609432,528692228.5534925,433390576.93859094,3002.872888712984
,0.0011659431687378059,0.0829459579817141,0.4427885084376529,306.6320244540369,711906031.937233,652411006.3450537,533420955.16069496,3126.9727571252015
,0.0012825374856115866,0.12563644117051742,0.5679393491541774,429.4204161721612,857315050.8658872,784434083.2470002,638672148.009226,3238.508391128779
*,0.001318174294728818,0.14167335894054034,0.6053187064112998,470.84143404778774,886360342.2013066,810570013.212415,658989355.2346314,3251.6416898410166
PEAK SHOT P,0.0013974467224082269,0.18276389274217564,0.6830280492324924,566.3361577660789,915846135.7162938,836456472.7211868,677677146.7309729,3235.8438334422767
,0.0013991318024853669,0.1837198754860418,0.6845741722108557,568.3880993080263,915930445.6257915,836509771.9794576,677668424.6867898,3234.8255919118105
PEAK AVG P,0.0014026733514918405,0.18574055254829575,0.6878079472286533,572.7016162574341,916035859.0072304,836556134.1280309,677596684.3696322,3232.595828029855
PEAK BREECH P,0.001404793474889184,0.18695748835571946,0.6897331430807064,575.2837637161258,916052421.8872474,836541327.9996023,677519140.2243122,3231.2032087650464
,0.0015157261193591476,0.2582027087606215,0.7785087932778358,708.0945422869327,873961569.6540096,796576631.8152988,641806756.1378772,3105.6126020763477
,0.0016323204362329283,0.3483538304692508,0.8463121492707354,835.5821763024323,770849204.2670809,701186343.2697359,561860621.2750461,2903.606492724248
*,0.0017014025412797778,0.4084360820348506,0.875869396442594,902.7898562088525,700690589.7856848,636644805.8251208,508553237.9039926,2774.745188742287
,0.0017489147531067086,0.45235071283341133,0.8925032490930296,945.2440817091173,653050062.13338,592915760.8604274,472647158.31452185,2687.877198658891
,0.0018655090699804893,0.568080758256362,0.9234634362511224,1037.141084554271,545843636.7622026,494741003.8195662,392535737.93429315,2490.4019040698345
,0.00198210338685427,0.6936046228628808,0.9443744337071003,1113.7218783791707,456745821.25519985,413366645.5973757,326608294.2817273,2320.730731210257
,0.0020986977037280503,0.8273044878368688,0.958759606460637,1177.8474368883926,385199185.61595196,348162259.2766269,274088406.59797686,2178.0716236692124
,0.002215292020601831,0.9678800133529709,0.9688726505310414,1232.043348122856,328246966.2458129,296352175.10269785,232562592.81646773,2058.430249342377
,0.0023318863374756117,1.1142965324987941,0.9761374475661597,1278.3387054253765,282774566.18524206,255049416.80375192,199599118.04077163,1957.504528844617
,0.0024484806543493922,1.2657287147885958,0.9814617280878115,1318.3089491041935,246166201.7515631,221842552.2993292,173195253.39486137,1871.5814502961337
*,0.002534007487223967,1.3796159785333402,0.9844836745553243,1344.3247241951824,223747643.56086907,201528158.63959458,157089188.79704553,1816.3355176564496
,0.002565074971223173,1.4215128328985496,0.985434634655515,1353.1661047780492,216386896.29480395,194861957.60247427,151812080.21781492,1797.6854437988964
,0.0026816692880969532,1.5811095371532446,0.9884466724743924,1383.8446584317467,191896998.94754934,172696616.7200937,134295852.26518238,1733.4940864779655
,0.0027982636049707337,1.7440756901576113,0.9907623022383912,1411.0705070967297,171540155.9593269,154288897.1265261,119786379.46092448,1677.206425324831
,0.002914857921844514,1.9100432335200586,0.9925643633318866,1435.413060856357,154445948.20518345,138844015.29582512,107640149.47710848,1627.4220458980863
,0.003031452238718295,2.078703301564837,0.9939817317588125,1457.3237416114498,139954670.12703818,125760454.01874666,97372021.8021636,1583.0442103470577
,0.0031480465555920756,2.249794198210669,0.9951068801111692,1477.1642716925844,127561771.60057068,114578743.82433645,88612688.27186802,1543.2061496911351
,0.0032646408724658566,2.4230922145824016,0.9960072514240019,1495.2275131915992,116877506.46221098,104944357.2710288,81078058.88866442,1507.216058479478
,0.0033812351893396366,2.5984045454140183,0.9967327711975253,1511.7529218794232,107597734.32469104,96580913.44343406,74547271.68092011,1474.5162546522083
,0.003497829506213417,2.775563768105505,0.9973209017686969,1526.938107061126,99482731.64009435,89270765.27114779,68846832.53325465,1444.6527927479976
,0.0036144238230871976,2.9544234959578253,0.9978001029417279,1540.947561621426,92341717.06838018,82840842.57627328,63839093.59205948,1417.2527223735462
*,0.0036891855523864584,3.069954910512068,0.9980604593194154,1549.3794774748774,88202508.94372614,79115066.82929973,60940182.60044691,1400.829891351748
,0.0037310181399609786,3.1348549223170172,0.998192240320581,1553.9193201586081,86021457.7953973,77152241.76242767,59413809.69648845,1392.006935715578
,0.003847612456834759,3.316744047376062,0.9985142869002578,1565.970086773667,80397804.85882068,72092500.42612897,55481891.56074557,1368.6571176267541
*,0.003927110519776188,3.4415562059322946,0.9987006592706239,1573.7126831018386,76909616.90307362,68955002.20570487,53045772.81096735,1353.7064767838751
*,0.003959115472199693,3.4919711976604506,0.998769031216689,1576.7273079136908,75577253.99156882,67756777.81284343,52115825.45539266,1347.8955593899448
*,0.003963153771685884,3.4983392550174126,0.9987774051251875,1577.103694949478,75411923.88782594,67608099.98355225,52000452.17500486,1347.1704527106344
*,0.003964164665593526,3.4999335870921513,0.9987794926515571,1577.1977763065938,75370633.45511846,67570968.63233379,51971638.98676444,1346.9892197976367
SHOT EXIT,0.00396420677370854,3.5,0.9987795795308503,1577.2016940032076,75368914.36251651,67569422.70179781,51970439.38036044,1346.9816730944087
