"x","Type1","Type8","Type2"
0,1.99992,,
0.05,1.95778,,
0.1,1.9125,,
0.15,1.86787,,
0.2,1.82373,,
0.25,1.7788,,
0.3,1.73655,,
0.35,1.69414,,
0.4,1.65263,,
0.45,1.61112,,
0.5,1.57063,,
0.55,1.52977,,
0.6,1.49079,,
0.65,1.45216,,
0.7,1.41282,,
0.75,1.37403,,
0.8,1.33694,,
0.85,1.29975,,
0.9,1.26301,,
0.95,1.22551,,
1,1.19133,,
1.05,1.15818,,
1.1,1.12555,,
1.15,1.09353,,
1.2,1.06293,,
1.25,1.03238,,
1.3,1.00449,,
1.35,0.97705,,
1.4,0.95227,,
1.45,0.92927,,
1.5,0.90752,,
1.55,0.88743,,
1.6,0.86734,,
1.65,0.85164,,
1.7,0.83514,1.26884,
1.75,0.81859,1.23332,
1.8,0.80395,1.20247,
1.85,0.78872,1.17553,
1.9,0.77369,1.15143,
1.95,0.75944,1.12979,
2,0.74593,1.10887,1.18486
2.05,0.73354,1.08979,1.16006
2.1,0.72052,1.07177,1.13858
2.15,0.70896,1.05523,1.11809
2.2,0.69714,1.03917,1.09968
2.25,0.68516,1.02455,1.08204
2.3,0.67372,1.01156,1.06641
2.35,0.66204,0.99866,1.05092
2.4,0.65086,0.98733,1.03724
2.45,0.63969,0.97581,1.0248
2.5,0.62908,0.96511,1.01316
2.55,0.61814,0.95533,1.00215
2.6,0.60716,0.94552,0.9922
2.65,0.59634,0.93654,0.9828
2.7,0.58552,0.92793,0.97419
2.75,0.5742,0.91879,0.966
2.8,0.56285,0.91108,0.95823
2.85,0.55188,0.90334,0.95068
2.9,0.54092,0.89599,0.94327
2.95,0.53007,0.88874,0.93666
3,0.51922,0.88154,0.93039
3.05,0.50844,0.87481,0.92475
3.1,0.49766,0.86809,0.91991
3.15,0.48692,0.86134,0.91465
3.2,0.47619,0.8546,0.90969
3.25,0.4653,0.84799,0.90494
3.3,0.4544,,0.89973
3.35,0.44326,,0.89507
3.4,0.4321,,0.89048
3.45,0.42094,,0.88587
3.5,0.40977,,0.88146
3.55,0.39876,,0.87723
3.6,0.38775,,0.87294
3.65,0.37714,,
3.7,0.36652,,
3.75,0.35541,,
3.8,0.34427,,
3.81517,0.34088,,
